row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,sensor,matched,n_img,B2,B3,B4,B8,B11,B12,lst_C
474,E82,LAGO MAYOR,2018-07-25,-16.1109,-69.4173,11.0,1.19,0.57,13.3,LS,1,1.0,0.02476,0.01897,0.01307,0.04415,0.03133,0.01234,12.67
475,E83,LAGO MAYOR,2018-07-25,-16.1837,-69.5067,7.0,1.1,0.57,12.9,LS,1,1.0,0.02315,0.01866,0.01247,0.04413,0.03169,0.01262,13.25
476,E88,LAGO MAYOR,2018-07-25,-16.2064,-69.3781,9.4,1.1,0.29,13.5,LS,1,1.0,0.02196,0.01751,0.01182,0.04335,0.03119,0.01223,12.78
477,E94,LAGO MAYOR,2018-07-26,-16.251,-69.2884,9.0,1.7,0.57,12.6,LS,1,1.0,0.02519,0.02129,0.01649,0.0498,0.03746,0.01697,12.71
478,E97,LAGO MAYOR,2018-07-26,-16.1757,-69.1958,10.5,2.21,0.57,12.4,LS,1,1.0,0.02381,0.0183,0.01274,0.04409,0.03108,0.0121,12.6
479,E98,LAGO MAYOR,2018-07-26,-16.1056,-69.1103,12.0,2.88,6.86,12.7,LS,1,1.0,0.02339,0.01793,0.01282,0.04425,0.03134,0.01235,12.88
480,E99,LAGO MAYOR,2018-07-28,-16.0745,-69.0742,11.0,1.19,10.0,12.4,LS,1,1.0,0.0241,0.01926,0.01363,0.04429,0.03113,0.01218,12.77
481,E100,LAGO MAYOR,2018-07-28,-16.0055,-68.9959,13.0,2.29,0.29,12.1,LS,1,1.0,0.02345,0.01739,0.01225,0.04394,0.03099,0.01215,12.59
482,E103,LAGO MAYOR,2018-07-28,-15.9394,-68.9017,,2.2,0.29,12.4,LS,1,2.0,0.02271,0.00775,0.00246,0.04059,0.03272,0.01379,12.77
483,E104,LAGO MAYOR,2018-07-28,-16.0297,-68.8837,12.0,0.59,0.57,13.1,LS,1,2.0,0.02475,0.02136,0.0158,0.04805,0.03514,0.01628,11.48
484,E105,LAGO MAYOR,2018-07-28,-15.9864,-68.8016,,0.51,0.29,12.6,LS,1,2.0,0.02687,0.0278,0.01648,0.04469,0.03185,0.01269,10.95
485,E113,LAGO MAYOR,2018-07-26,-16.2174,-69.1367,,1.7,8.86,13.4,LS,1,1.0,0.0232,0.01892,0.0133,0.04429,0.03119,0.01212,12.91
486,E117,LAGO MAYOR,2018-07-26,-16.1653,-69.1027,9.1,1.11,0.29,13.3,LS,1,1.0,0.02388,0.0191,0.01285,0.04438,0.03131,0.01233,13.05
487,E120,LAGO MAYOR,2018-07-28,-16.1264,-68.9337,9.5,1.19,10.29,13.1,LS,1,2.0,0.02389,0.0189,0.01296,0.04424,0.03111,0.01202,12.79
488,E121,LAGO MAYOR,2018-07-28,-16.2068,-68.8643,8.0,1.7,0.29,13.3,LS,1,2.0,0.02295,0.01925,0.01304,0.04456,0.03145,0.01241,12.66
489,E122,LAGO MENOR,2018-07-29,-16.2276,-68.8361,9.0,3.39,0.57,11.8,LS,1,3.0,0.02121,0.01839,0.01261,0.0447,0.03189,0.01286,12.52
490,E123,LAGO MENOR,2018-07-29,-16.1925,-68.797,9.0,0.59,12.29,11.4,LS,1,3.0,0.02277,0.0188,0.01279,0.04501,0.03172,0.0126,11.23
491,E125,LAGO MENOR,2018-07-29,-16.2626,-68.7843,7.5,1.78,9.43,11.4,LS,1,3.0,0.02304,0.02155,0.01368,0.04493,0.03155,0.01264,10.69
492,E127,LAGO MENOR,2018-07-29,-16.2135,-68.733,,1.1,6.0,10.1,LS,1,2.0,0.02097,0.01819,0.01321,0.04555,0.03203,0.013,11.04
493,E126,LAGO MENOR,2018-07-29,-16.2677,-68.7154,,2.88,21.71,10.2,LS,1,2.0,0.02166,0.02222,0.01321,0.04554,0.03215,0.01289,9.72
494,E124,LAGO MENOR,2018-07-29,-16.218,-68.6226,,0.59,17.43,11.3,LS,1,2.0,0.02224,0.02739,0.0135,0.04539,0.03187,0.01267,9.29
495,E132,LAGO MENOR,2018-07-29,-16.3339,-68.7808,7.0,0.59,6.0,11.5,LS,1,3.0,0.02385,0.0316,0.01578,0.04424,0.03164,0.01256,9.3
496,E129,LAGO MENOR,2018-07-29,-16.217,-68.9353,,0.59,0.57,11.6,LS,1,3.0,0.02458,0.02201,0.01467,0.04438,0.0312,0.01229,10.4
497,E130,LAGO MENOR,2018-07-29,-16.3144,-68.8451,6.0,1.1,5.43,11.5,LS,1,3.0,0.02436,0.02708,0.01624,0.04821,0.03607,0.01712,10.83
498,E136,LAGO MENOR,2018-07-29,-16.2659,-69.0601,8.0,1.58,3.14,11.8,LS,1,1.0,0.02099,0.02072,0.01343,0.04415,0.0319,0.01299,11.89
499,E135,LAGO MENOR,2018-07-29,-16.3028,-68.9852,,1.19,4.86,12.0,LS,1,5.0,0.02569,0.02311,0.01471,0.04403,0.03135,0.01223,10.5
500,E137,LAGO MENOR,2018-07-29,-16.4011,-68.8334,5.0,2.05,6.29,11.7,LS,1,5.0,0.02798,0.03948,0.02047,0.04499,0.03335,0.01395,10.55
501,E138,LAGO MENOR,2018-07-30,-16.3653,-68.9031,,2.21,2.29,10.5,LS,1,5.0,0.02507,0.02305,0.01517,0.04437,0.03146,0.0125,10.84
502,E141,LAGO MENOR,2018-07-30,-16.3764,-69.0073,5.5,3.39,1.71,10.3,LS,1,5.0,0.02534,0.02294,0.0147,0.04467,0.03216,0.0135,10.89
503,E142,LAGO MENOR,2018-07-30,-16.4515,-68.998,7.0,1.35,1.71,10.5,LS,1,5.0,0.02458,0.0214,0.01328,0.04414,0.03243,0.01422,9.67
504,E148,LAGO MENOR,2018-07-30,-16.5187,-68.8773,,2.22,1.43,11.0,LS,1,5.0,0.03242,0.0439,0.02018,0.04403,0.03121,0.01241,8.96
