sensor,station,zona,date,lat,lon,secchi,w1_n,w1_B2,w1_B3,w1_B4,w1_B8,w1_B11,w1_B12,w3_n,w3_B2,w3_B3,w3_B4,w3_B8,w3_B11,w3_B12,w5_n,w5_B2,w5_B3,w5_B4,w5_B8,w5_B11,w5_B12,w10_n,w10_B2,w10_B3,w10_B4,w10_B8,w10_B11,w10_B12
LS,E57,LAGO MAYOR,2015-07-24,-15.912100,-69.609900,8.000000,0,,,,,,,1,0.023874,0.018342,0.012554,0.043499,0.031099,0.012109,1,0.023874,0.018342,0.012554,0.043499,0.031099,0.012109,1,0.023874,0.018342,0.012554,0.043499,0.031099,0.012109
LS,E58,LAGO MAYOR,2015-07-24,-15.951900,-69.545300,8.300000,0,,,,,,,1,0.024699,0.019415,0.012818,0.043839,0.031140,0.012207,1,0.024699,0.019415,0.012818,0.043839,0.031140,0.012207,1,0.024699,0.019415,0.012818,0.043839,0.031140,0.012207
LS,E59,LAGO MAYOR,2015-07-24,-15.887600,-69.461500,8.000000,0,,,,,,,1,0.022849,0.017099,0.012159,0.043437,0.031161,0.012350,1,0.022849,0.017099,0.012159,0.043437,0.031161,0.012350,1,0.022849,0.017099,0.012159,0.043437,0.031161,0.012350
LS,E60,LAGO MAYOR,2015-07-27,-15.827100,-69.377600,11.000000,0,,,,,,,0,,,,,,,0,,,,,,,1,0.022518,0.017758,0.012256,0.043764,0.031277,0.012391
LS,E61,LAGO MAYOR,2015-07-27,-15.758500,-69.304500,8.000000,0,,,,,,,0,,,,,,,0,,,,,,,1,0.023269,0.018496,0.012799,0.043744,0.031191,0.012597
LS,E62,LAGO MAYOR,2015-07-25,-15.643000,-69.265900,9.000000,0,,,,,,,0,,,,,,,1,0.022636,0.017415,0.012111,0.043906,0.031856,0.012908,1,0.022636,0.017415,0.012111,0.043906,0.031856,0.012908
LS,E63,LAGO MAYOR,2015-07-25,-15.625900,-69.317100,10.000000,0,,,,,,,0,,,,,,,1,0.024170,0.019230,0.013477,0.044287,0.031114,0.012097,1,0.024170,0.019230,0.013477,0.044287,0.031114,0.012097
LS,E64,LAGO MAYOR,2015-07-23,-15.562500,-69.291500,9.000000,0,,,,,,,1,0.022651,0.017978,0.012459,0.043853,0.031665,0.012545,1,0.022651,0.017978,0.012459,0.043853,0.031665,0.012545,1,0.022651,0.017978,0.012459,0.043853,0.031665,0.012545
LS,E66,LAGO MAYOR,2015-07-28,-15.951000,-69.473000,11.000000,0,,,,,,,0,,,,,,,0,,,,,,,2,0.024310,0.018933,0.013114,0.043990,0.031162,0.012173
LS,E67,LAGO MAYOR,2015-07-27,-15.988900,-69.412700,10.000000,0,,,,,,,0,,,,,,,0,,,,,,,1,0.023238,0.018231,0.012141,0.043527,0.031126,0.012320
