row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,ph,do,matched,n_img,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
209,E04,BAHIA PUNO,2019-07-11,-15.8752,-69.8717,1.5,1.54,21.5,13.5,8.61,8.25,1,8.0,0.01352,0.01449,0.02084,0.00506,0.00643,0.00356,0.00388,0.00235,0.00237,0.00161,0.00153
210,E05,BAHIA PUNO,2019-07-11,-15.84,-69.892,8.0,0.59,10.75,13.6,8.64,7.2,1,8.0,0.01598,0.01623,0.01335,0.00552,0.00461,0.00368,0.00374,0.00314,0.003,0.00118,0.00129
211,E07,BAHIA PUNO,2019-07-11,-15.758,-69.8783,,1.7,8.5,12.7,8.66,7.5,1,8.0,0.01247,0.01474,0.01436,0.00512,0.00442,0.0033,0.00347,0.00289,0.00299,0.00142,0.00184
212,E08,BAHIA PUNO,2019-07-11,-15.7798,-69.8691,10.0,1.1,6.5,13.0,8.63,6.77,1,8.0,0.01258,0.01555,0.01249,0.00498,0.0042,0.00326,0.00326,0.00277,0.00258,0.0013,0.00128
213,E09,BAHIA PUNO,2019-07-11,-15.8348,-69.8603,,2.05,12.0,13.6,8.67,7.68,1,8.0,0.01508,0.01557,0.01703,0.00514,0.00396,0.00341,0.00321,0.00316,0.00269,0.00188,0.00148
214,E14,BAHIA PUNO,2019-07-12,-15.7489,-69.783,9.0,0.51,15.0,13.0,8.16,6.74,1,4.0,0.00355,0.00922,0.00798,0.0025,0.0036,0.00267,0.00261,0.00127,0.00152,0.00125,0.00129
215,E16,BAHIA PUNO,2019-07-11,-15.6728,-69.8539,3.5,1.1,11.75,12.8,8.64,6.8,1,8.0,0.01074,0.01362,0.01614,0.00457,0.00273,0.00105,0.00192,0.00129,0.00129,0.00369,0.00322
216,E17,BAHIA PUNO,2019-07-12,-15.6054,-69.9049,3.0,3.9,7.75,10.2,8.45,5.72,1,8.0,0.00524,0.01274,0.01669,0.00937,0.00719,0.00471,0.00543,0.00496,0.00434,0.00463,0.0042
217,E25,LAGO MAYOR,2019-07-12,-15.4911,-69.8931,6.1,1.02,20.5,13.2,8.52,6.88,1,8.0,0.00914,0.01447,0.01407,0.00612,0.00512,0.00455,0.00467,0.00427,0.00343,0.00384,0.0041
218,E28,LAGO MAYOR,2019-07-12,-15.3928,-69.7822,7.0,0.59,9.25,13.0,8.55,7.1,1,8.0,0.00352,0.01056,0.0105,0.00162,0.00348,0.00259,0.00259,0.0006,0.00045,0.00134,0.00128
