row_id,station,zona,campaign_date,date,year,month,lat,lon,sensor,event_id,secchi,chl,tss,temp_insitu,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
217,E52,LAGO MAYOR,2015-07-23,2015-07-23,2015,7,-15.8028,-69.6843,LS,E52|2015-07-23|9.0,9.0,1.19,6.0,12.96,0.014746486272975916,0.011609142910694125,0.00495445845709478,0.002705394440511325,0.001714949017154098,0.0019472613232122248,0.6220073782144012,-0.40176552816437167,1.2702475209555917,0.4267720768394322,0.787248020209449,2.976406689908213
218,E53,LAGO MAYOR,2015-07-23,2015-07-23,2015,7,-15.8686,-69.7634,LS,E53|2015-07-23|8.0,8.0,1.77,4.0,12.78,0.01508970672189343,0.013225222058898777,0.0052487214069104485,0.002806289022865501,0.0017918986810281333,0.001934963095158092,0.6499033268287109,-0.43177030583538295,1.1409793736325764,0.3968720514985018,0.8764399087538655,2.87492946893636
219,E54,LAGO MAYOR,2015-07-23,2015-07-23,2015,7,-15.8983,-69.7317,LS,E54|2015-07-23|8.0,8.0,1.11,6.0,12.92,0.014880677726688028,0.012832840701927277,0.005193280561293004,0.002875654048233995,0.001822678546577753,0.002107138287915947,0.6338727025209309,-0.4238049664303953,1.1595777515476717,0.4046867156876922,0.8623827540145721,2.865370874092005
220,E55,LAGO MAYOR,2015-07-24,2015-07-24,2015,7,-15.8738,-69.6776,LS,E55|2015-07-24|11.0,11.0,0.59,7.0,12.51,0.01466132631196631,0.011462831218264077,0.0047668125180818895,0.0024153225162430667,0.001614914454117846,0.001756638788373171,0.6519244723165508,-0.41257949936430754,1.2790317465003087,0.4158494538973347,0.7818413008833328,3.0757079664122995
221,E56,LAGO MAYOR,2015-07-25,2015-07-25,2015,7,-15.9247,-69.6805,LS,E56|2015-07-25|9.0,9.0,0.59,3.33,12.63,0.01498390192185119,0.013019055583201886,0.005261515448206783,0.0030333018331623954,0.001822678546577753,0.0021255856299971466,0.6220739339996109,-0.4243598133398958,1.150920715805513,0.4041395330438586,0.8688694561826115,2.847829531533246
222,E57,LAGO MAYOR,2015-07-24,2015-07-24,2015,7,-15.9121,-69.6099,LS,E57|2015-07-24|8.0,8.0,1.7,6.67,12.93,0.014534876672891436,0.011283266868463558,0.00484357676585989,0.002421628427640203,0.0016303043868926524,0.0017504896743461042,0.6466038304385184,-0.3993149465145712,1.288179704881069,0.4292707416259754,0.7762890835681157,3.0008554369336173
223,E58,LAGO MAYOR,2015-07-24,2015-07-24,2015,7,-15.9519,-69.5453,LS,E58|2015-07-24|8.3,8.3,1.19,7.0,13.02,0.014749066877854995,0.011994873736191533,0.004958723137526891,0.0026360294151428244,0.0016610842524422686,0.0018119808146167676,0.639662745668057,-0.4150240350794286,1.229614081200313,0.4134034949581578,0.8132631726647113,2.9743672906174066
224,E59,LAGO MAYOR,2015-07-24,2015-07-24,2015,7,-15.8876,-69.4615,LS,E59|2015-07-24|8.0,8.0,1.1,9.0,14.03,0.014271654975225373,0.010458600965676001,0.004677254229007555,0.002383792959257388,0.001676474185217075,0.0018980684109956942,0.6287618511669852,-0.38196364066270233,1.3645853453514531,0.4472160088277379,0.732823225547997,3.0512884750686586
225,E60,LAGO MAYOR,2015-07-27,2015-07-27,2015,7,-15.8271,-69.3776,LS,E60|2015-07-27|11.0,11.0,1.11,4.0,12.8,0.014186495014215764,0.010897536042966154,0.0047199010333286665,0.00258558212396574,0.0017688137818659237,0.00192266486710396,0.6164711455926273,-0.3955600771047276,1.301807459638091,0.4331163101092774,0.7681626267716944,3.0056757352251378
226,E61,LAGO MAYOR,2015-07-27,2015-07-27,2015,7,-15.7585,-69.3045,LS,E61|2015-07-27|8.0,8.0,1.19,5.0,12.63,0.014380040380146692,0.01138967537204905,0.0049501937766626685,0.002572970301171467,0.001699559084379288,0.002051796261672351,0.6314494148009541,-0.39409625271067955,1.2625503930415596,0.4346211090607229,0.7920474684985129,2.9049443565211495
