station,zona,campaign_date,year,month,sensor,lat,lon,secchi,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
E94,LAGO MAYOR,2016-08-10,2016,8,S2,-16.251,-69.2884,7.4,0.01237,0.01237,0.00538,0.00363,0.00242,0.00243,0.5462499658593772,-0.3938027947153355,0.9999999191592629,0.43492316613393966,0.9999999191592629,2.2992560782051896
E97,LAGO MAYOR,2016-08-10,2016,8,S2,-16.1757,-69.1958,9.5,0.01022,0.01011,0.00372,0.00199,0.00092,0.00108,0.6710743247046012,-0.46203901214468457,1.010880216530147,0.36795248586028834,0.9892366938124566,2.7473110894325026
E98,LAGO MAYOR,2016-08-10,2016,8,S2,-16.1117,-69.1016,9.0,0.01067,0.01033,0.00437,0.00259,0.00226,0.00236,0.5990711610626036,-0.4054421492896497,1.032913743183568,0.42303964927012105,0.9681348670913902,2.4416470385247053
E99,LAGO MAYOR,2016-08-12,2016,8,S2,-16.0745,-69.0742,9.2,0.01283,0.01247,0.00572,0.00369,0.00271,0.00292,0.5433167980620793,-0.37108299224392566,1.0288692037795346,0.458700845332731,0.9719406880794477,2.2430066008729717
E100,LAGO MAYOR,2016-08-12,2016,8,S2,-16.0055,-68.9959,10.2,0.01168,0.01054,0.00464,0.00237,0.00155,0.00106,0.6328427085327104,-0.38866927610874336,1.1081592876509214,0.4402276622174893,0.90239718301394,2.5172408368015433
E104,LAGO MAYOR,2016-08-11,2016,8,S2,-15.994,-68.8804,11.5,0.00956,0.00895,0.00294,0.00121,0.00099,0.00101,0.7618109486406547,-0.5054667362937985,1.0681563052339327,0.32849158340876167,0.9361923706911746,3.251699574251846
E113,LAGO MAYOR,2016-08-10,2016,8,S2,-16.2174,-69.1367,9.3,0.01081,0.01021,0.00427,0.00236,0.00106,0.00103,0.6245027347253194,-0.4102209661449609,1.05876581206995,0.418217392926798,0.9444957498153793,2.531615332174395
E117,LAGO MAYOR,2016-08-10,2016,8,S2,-16.1653,-69.1027,10.0,0.01086,0.01105,0.00472,0.00264,0.00212,0.00218,0.6143169748490158,-0.4013950284467326,0.9828053409225935,0.42714928261092466,1.017495302256418,2.3008469701595398
E119,LAGO MAYOR,2016-08-10,2016,8,S2,-16.0439,-69.1309,10.5,0.01217,0.01178,0.00584,0.00395,0.00345,0.00313,0.4977749206754659,-0.33711689346669166,1.0331068732506898,0.49575547574231954,0.9679539056734672,2.0839037527562065
E120,LAGO MAYOR,2016-08-12,2016,8,S2,-16.1264,-68.9337,14.2,0.01057,0.01066,0.00386,0.00222,0.0013,0.00124,0.6552794522298563,-0.4683195269752391,0.991557130247924,0.3621012793526005,1.0085145687308827,2.738341259497083
