station,lat,lon,residual,n,zone_label,x_km,y_km,local_I,p_local,lag,cluster,z,q_local
E117,-16.165850,-69.101900,-0.152005,12,Lago Mayor,489.106593,8212.716383,0.015793,0.433900,-0.058634,ns,-0.269348,0.480810
E118,-16.085100,-69.149900,0.195480,1,Lago Mayor,483.968754,8221.645489,0.004960,0.285600,0.219750,ns,0.022572,0.477182
E119,-16.043900,-69.130900,0.125130,3,Lago Mayor,485.997855,8226.204220,-0.007213,0.302800,0.197473,ns,-0.036529,0.477182
E12,-15.585150,-69.809400,1.408729,2,Lago Mayor,413.222114,8276.787453,-0.168367,0.353500,-0.161609,ns,1.041816,0.477182
E120,-16.127675,-68.935883,-0.567589,12,Lago Mayor,506.855571,8216.940778,-0.349632,0.081100,0.565310,ns,-0.618479,0.362416
E121,-16.206950,-68.864017,-0.493668,12,Lago Mayor,514.534012,8208.167934,-0.084340,0.359400,0.151588,ns,-0.556378,0.477182
E122,-16.227711,-68.835878,-0.450559,9,Lago Menor,517.539689,8205.869203,0.013775,0.474800,-0.026482,ns,-0.520162,0.484974
E123,-16.192414,-68.796943,-0.156091,7,Lago Menor,521.704528,8209.769912,0.094607,0.188000,-0.346825,ns,-0.272781,0.452118
E125,-16.247810,-68.768810,-0.675051,10,Lago Menor,524.704721,8203.639001,0.496930,0.039100,-0.701130,LL,-0.708757,0.274424
E127,-16.218000,-68.622600,3.484247,2,Lago Menor,540.334795,8206.913332,-0.561739,0.308100,-0.201669,ns,2.785447,0.477182
E129,-16.333900,-68.780800,-0.887927,2,Lago Menor,523.413257,8194.117295,0.414875,0.113100,-0.467416,ns,-0.887593,0.394471
E13,-15.676075,-69.761425,0.690563,4,Bahia de Puno,418.401924,8266.748360,-0.063142,0.363900,-0.143999,ns,0.438488,0.477182
E130,-16.277175,-68.879925,-0.506851,8,Lago Menor,512.829161,8200.400906,0.058322,0.401400,-0.102779,ns,-0.567453,0.478454
E131,-16.287500,-68.904600,2.319995,1,Lago Menor,510.192277,8199.260170,-0.729997,0.158500,-0.403901,ns,1.807365,0.444422
E132,-16.324350,-68.813883,-0.544424,6,Lago Menor,519.880503,8195.177216,0.308801,0.092900,-0.515512,ns,-0.599018,0.383240
E135,-16.286986,-69.017300,-0.211710,7,Lago Menor,498.151711,8199.319360,0.016414,0.451600,-0.051374,ns,-0.319507,0.481931
E136,-16.279888,-69.032063,-0.137991,8,Lago Menor,496.574399,8200.104356,0.003094,0.485300,-0.012012,ns,-0.257575,0.488718
E137,-16.387725,-68.859387,-0.072790,8,Lago Menor,515.015011,8188.170670,-0.020616,0.394900,0.101658,ns,-0.202801,0.478454
E138,-16.401100,-68.833400,-0.861722,2,Lago Menor,517.788823,8186.689043,0.159150,0.319800,-0.183865,ns,-0.865578,0.477182
E139,-16.422400,-68.903000,1.377596,1,Lago Menor,510.356103,8184.337688,-0.426972,0.145400,-0.420388,ns,1.015661,0.433171
