observed,predicted_unbounded,predicted_bounded
4.5,8.35477869225827,8.698699121465742
5.0,8.179200247918105,8.6716713522206
5.0,7.338863547890637,8.524174852607363
8.0,8.425540732302213,8.709278391975024
5.0,8.360820839858075,8.699609305976775
6.0,7.7433661878176,8.59928060235955
6.0,7.901352830542464,8.626455265848092
6.0,7.958505872572679,8.636015659826542
5.0,8.075738170008815,8.65519891341346
11.0,10.490543294766299,8.95817551578519
11.0,10.204765182671242,8.929254789368077
9.4,10.291128658545567,8.938145340381963
10.3,9.766360782941785,8.881953554020553
5.0,8.778649288043503,8.75959094948808
13.0,10.387674282948383,8.947928069086979
12.0,10.18435924679143,8.927134477618138
5.8,7.3815312998428055,8.532505571794797
8.2,9.944395143889828,8.901616028280758
5.5,9.047888701744155,8.795421222226905
4.7,8.131750925968754,8.664168733881514
9.8,9.803968732326485,8.88616100490265
6.5,9.730563134627225,8.87792115044158
7.4,8.841462985567066,8.768135612667633
9.5,10.184003631862675,8.92709745952471
9.0,9.896778084633825,8.896419906137615
9.3,9.866554106014487,8.893098239261832
10.0,9.61566653371981,8.86479376022753
10.5,9.650459903949777,8.868799197378294
10.0,9.7268140062509,8.877497268227904
10.0,9.589160493810876,8.861724502922657
8.0,9.09905019764085,8.802002816730017
9.5,9.300823654079153,8.827297432606947
9.0,9.209618818394535,8.815992152837406
9.0,8.961909272620527,8.784201035944212
6.5,8.008238484978612,8.644222623723227
8.0,6.991117831578948,8.452185541273483
5.4,7.42712162235711,8.541294729812822
7.0,7.833930314876014,8.614995005668273
6.0,8.229887516564773,8.679590978628163
6.0,6.797193372570221,8.408509895743077
6.0,8.145999934483328,8.666430909344424
6.0,6.2538223916038165,8.269375271112224
5.5,8.624776632694717,8.738155819717694
7.0,8.921730347805967,8.778887648788462
6.5,8.441304328923056,8.711611486786428
9.0,9.343010842055863,8.83245722122555
10.0,8.789493271707428,8.761074405657023
7.0,9.586157877182023,8.861375834769639
13.0,8.786392511381571,8.760650579258067
11.0,9.788329598262056,8.884414921607943
10.0,8.446069379223115,8.712315065163505
10.0,8.994538363545498,8.788482936846664
11.5,9.845499686282928,8.890773406962364
12.0,10.68369247926978,8.976944694517721
9.0,10.476199166268946,8.956757297328698
11.0,9.904291364533048,8.897242780132263
14.0,9.738450804861937,8.878811971317019
4.0,7.203050565080567,8.496954969793569
9.0,9.868766458013091,8.893342005494175
12.5,9.95761470574283,8.903050623038313
11.5,10.012451181450231,8.908965007180003
13.0,10.030948687896746,8.910946908910185
12.0,9.26938571456217,8.82342396367721
12.0,9.409777752833364,8.840535530850168
4.8,7.262336968385342,8.508971603390204
12.0,8.737105253737916,8.75387512424508
2.5,5.69260694601585,8.090623761488686
9.5,7.7196420018604135,8.595101542670434
3.5,6.11162938462508,8.228027828152335
1.5,5.864748427337142,8.150180202368688
2.0,5.89732359683007,8.160934194313196
11.0,9.876316280918086,8.811050555672589
12.0,8.739053996086016,8.671139163289414
9.0,9.089841807497233,8.717658269584154
12.0,9.084157163209941,8.71693057444337
9.8,9.447532672704579,8.761853170992712
9.0,9.699103415471308,8.791184343185533
10.0,10.084110706524307,8.833562950143005
10.0,10.716419835676682,8.89738347118081
12.8,9.447896710436623,8.761896618057404
5.8,6.566253676159213,8.27685771578538
10.0,10.11395004219094,8.836729372876814
8.0,8.636946899533045,8.656946691537732
9.0,8.806782121046453,8.68038527681239
10.0,10.236044959991697,8.84951826682882
10.0,9.354495056339623,8.750650295231695
10.0,10.084110706524307,8.833562950143005
10.0,7.718065880172306,8.513351951063912
11.0,7.4351891707390925,8.462223492768736
6.0,7.232078255264936,8.423036570126058
11.0,9.127733064372503,8.722487750530185
15.0,10.71230488217438,8.896989107284293
16.5,11.055718869919058,8.92903996555739
15.0,10.595456821138681,8.885681754094126
15.0,11.112091596031641,8.934140708682337
