feature,value,shap,label
B2,0.025620,-0.138002,Blue
B2,0.027420,-0.055368,Blue
B2,0.025510,-0.103601,Blue
B2,0.024850,-0.065231,Blue
B2,0.026940,-0.060348,Blue
B2,0.024200,0.007432,Blue
B2,0.022520,-0.035187,Blue
B2,0.027270,-0.140874,Blue
B2,0.031010,-0.166412,Blue
B2,0.027580,-0.122323,Blue
B2,0.026300,0.000059,Blue
B2,0.044080,-0.081856,Blue
B2,0.020490,-0.020645,Blue
B2,0.026680,-0.041992,Blue
B2,0.028270,0.013703,Blue
B2,0.032960,0.016114,Blue
B2,0.023400,0.017699,Blue
B2,0.026110,-0.000151,Blue
B2,0.024300,0.116487,Blue
B2,0.024680,0.055508,Blue
B2,0.023970,0.004797,Blue
B2,0.022590,-0.069452,Blue
B2,0.023280,0.002943,Blue
B2,0.027790,0.077944,Blue
B2,0.025460,-0.021128,Blue
B2,0.022480,0.033155,Blue
B2,-0.008260,-0.117768,Blue
B2,0.025220,-0.101526,Blue
B2,0.026080,-0.058271,Blue
B2,0.023070,0.031998,Blue
B2,0.022220,-0.020294,Blue
B2,0.022890,-0.062960,Blue
B2,0.024190,-0.001167,Blue
B2,0.022220,-0.037053,Blue
B2,0.021920,0.014975,Blue
B2,0.025070,0.036858,Blue
B2,0.026880,-0.031262,Blue
B2,0.025960,0.005086,Blue
B2,0.022100,-0.017221,Blue
B2,0.021750,-0.118935,Blue
B2,0.021260,-0.133604,Blue
B2,0.021920,0.003580,Blue
B2,0.021000,0.033829,Blue
B2,0.021580,0.002586,Blue
B2,0.026800,0.006784,Blue
B2,0.023730,-0.052801,Blue
B2,0.023670,-0.044385,Blue
B2,0.024420,0.023054,Blue
B2,0.024040,-0.005515,Blue
B2,0.024160,0.031869,Blue
B2,0.025630,-0.040783,Blue
B2,0.023650,0.019666,Blue
B2,0.023970,0.001916,Blue
B2,0.021290,0.075581,Blue
B2,0.021300,0.033959,Blue
B2,0.020350,-0.093123,Blue
B2,0.022390,0.010724,Blue
B2,0.023530,0.004275,Blue
B2,0.023470,0.015153,Blue
B2,0.020440,0.129828,Blue
B2,0.024280,-0.012745,Blue
B2,0.021640,0.058934,Blue
B2,0.019920,0.139001,Blue
B2,0.020210,0.163510,Blue
B2,0.017640,0.139518,Blue
B2,0.022740,0.031938,Blue
B2,0.023000,0.048361,Blue
B2,0.030520,0.024464,Blue
B2,0.024000,-0.085112,Blue
B2,0.026690,-0.134413,Blue
B2,0.024420,-0.137449,Blue
B2,0.027110,-0.131958,Blue
B2,0.026440,-0.092321,Blue
B2,0.025800,-0.112645,Blue
B2,0.024360,-0.078067,Blue
B2,0.024790,-0.102477,Blue
B2,0.024430,-0.075455,Blue
B2,0.025500,-0.114690,Blue
B2,0.024520,-0.059585,Blue
B2,0.024570,0.033971,Blue
B2,0.024540,-0.010102,Blue
B2,0.024710,-0.034764,Blue
B2,0.025790,-0.006363,Blue
B2,0.026660,-0.012166,Blue
B2,0.027000,-0.039060,Blue
B2,0.026560,-0.130907,Blue
B2,0.026760,-0.138038,Blue
B2,0.027740,-0.092823,Blue
B2,0.028970,0.002268,Blue
B2,0.030640,0.001990,Blue
B2,0.030160,-0.006848,Blue
B2,0.026850,-0.048421,Blue
B2,0.028450,0.007364,Blue
B2,0.026830,-0.071884,Blue
B2,0.025680,-0.021285,Blue
B2,0.031480,-0.032655,Blue
B2,0.022780,-0.029879,Blue
B2,0.023920,-0.015605,Blue
B2,0.023600,0.014520,Blue
B2,0.024530,-0.066245,Blue
B2,0.022210,0.038817,Blue
B2,0.022390,0.054987,Blue
B2,0.022530,0.051800,Blue
B2,0.021900,0.086325,Blue
B2,0.023850,-0.005792,Blue
B2,0.024100,0.071512,Blue
