band,band_label,ls_roy,s2
B4,Red,0.01392,0.0034
B4,Red,0.01433,0.00506
B4,Red,0.01264,0.0037
B4,Red,0.01284,0.00378
B4,Red,0.01294,0.00552
B4,Red,0.01253,0.00746
B4,Red,0.01282,0.00494
B4,Red,0.01345,0.00341
B4,Red,0.01374,0.00327
B4,Red,0.03154,0.00498
B4,Red,0.01204,0.00702
B4,Red,0.0127,0.0049
B4,Red,0.01371,0.00424
B4,Red,0.01212,0.00464
B4,Red,0.01163,0.00362
B4,Red,0.01128,0.00131
B4,Red,0.01292,0.0041
B4,Red,0.01354,0.00061
B4,Red,0.01477,0.00486
B4,Red,0.01696,0.0
B4,Red,0.01354,0.00294
B4,Red,0.01259,0.01246
B4,Red,0.01398,0.00218
B4,Red,0.01339,0.00362
B4,Red,0.01988,0.01273
B4,Red,0.01222,0.00427
B4,Red,0.01223,0.00376
B4,Red,0.01357,0.00556
B4,Red,0.01361,0.00651
B4,Red,0.01202,0.00411
B4,Red,0.01254,0.00472
B4,Red,0.0119,0.00339
B4,Red,0.01265,0.00464
B4,Red,0.01321,0.008
B4,Red,0.01311,0.00629
B4,Red,0.01138,0.00584
B4,Red,0.01272,0.00386
B4,Red,0.01317,0.00414
B4,Red,0.01273,0.00451
B4,Red,0.0146,0.00543
B4,Red,0.01308,0.00289
B4,Red,0.0142,0.003
B4,Red,0.01228,0.00706
B4,Red,0.01433,0.0001
B4,Red,0.01407,0.0022
B4,Red,0.01491,0.00341
B4,Red,0.01256,0.01025
B4,Red,0.01357,0.0001
B4,Red,0.01421,0.00061
B4,Red,0.01542,0.0
B4,Red,0.01239,0.01102
B4,Red,0.01356,0.0027
B4,Red,0.01478,0.00674
B4,Red,0.0146,0.01153
B4,Red,0.01462,0.00277
B4,Red,0.02081,0.01005
B4,Red,0.02591,0.01223
B4,Red,0.02497,0.01389
B4,Red,0.02647,0.0137
B4,Red,0.01309,0.00353
B4,Red,0.01306,0.00308
B4,Red,0.01515,0.00502
B4,Red,0.01605,0.01236
B4,Red,0.01388,0.00355
B4,Red,0.02014,0.0115
B4,Red,0.01435,0.00487
B4,Red,0.01647,0.01028
B4,Red,0.01645,0.0078
B4,Red,0.01373,0.00561
B4,Red,0.0162,0.00904
B4,Red,0.01824,0.00971
B4,Red,0.01535,0.00578
B4,Red,0.01529,0.00772
B4,Red,0.01942,0.01633
B4,Red,0.02291,0.01385
B4,Red,0.01387,0.00264
B4,Red,0.01178,0.00486
B4,Red,0.01686,0.0025
B4,Red,0.0142,0.00572
B4,Red,0.0157,0.01315
B4,Red,0.0141,0.0052
B4,Red,0.01541,0.00647
B4,Red,0.01656,0.01338
B4,Red,0.01593,0.00797
B4,Red,0.01532,0.00583
B4,Red,0.01572,0.01021
B4,Red,0.01795,0.0081
B4,Red,0.01562,0.00604
B4,Red,0.01883,0.01444
B4,Red,0.01396,0.00374
B4,Red,0.01312,0.0046
B4,Red,0.01346,0.00299
B4,Red,0.01595,0.00419
B4,Red,0.01481,0.00599
B4,Red,0.02878,0.00457
B4,Red,0.01324,0.00019
B4,Red,0.01739,0.008
B4,Red,0.0185,0.01005
B4,Red,0.02311,0.00937
B4,Red,0.01389,0.00352
B4,Red,0.01253,0.00349
B4,Red,0.01262,0.00024
B4,Red,0.01244,0.00655
B4,Red,0.01325,0.00228
B4,Red,0.01279,0.00612
B4,Red,0.01388,0.00314
B4,Red,0.01624,0.00689
B4,Red,0.0135,0.00396
B4,Red,0.0145,0.00287
B4,Red,0.0127,0.00162
B4,Red,0.01238,0.00812
B4,Red,0.01226,0.00426
B4,Red,0.0142,0.00023
B4,Red,0.01424,0.00197
B4,Red,0.01307,0.0001
B4,Red,0.01486,0.00814
B4,Red,0.01354,0.0046
B4,Red,0.04693,0.03427
B4,Red,0.01388,0.00087
B4,Red,0.01389,0.00151
B4,Red,0.01652,0.00022
B4,Red,0.01445,0.00926
B4,Red,0.01208,0.00406
B4,Red,0.01237,0.00438
B4,Red,0.01459,0.0
B4,Red,0.01492,0.00038
B4,Red,0.06818,0.07505
B4,Red,0.01693,0.0073
B4,Red,0.01321,0.00361
B4,Red,0.01223,0.00366
B4,Red,0.01235,0.00104
B4,Red,0.01265,0.00011
B4,Red,0.01313,0.00293
B4,Red,0.01282,0.00516
B4,Red,0.01178,0.00402
B4,Red,0.01342,0.00217
B4,Red,0.01225,0.00524
B4,Red,0.01287,0.00353
B4,Red,0.0125,0.00528
B4,Red,0.01148,0.00447
B4,Red,0.01309,0.00181
B4,Red,0.01162,0.00591
B4,Red,0.01333,0.00495
B4,Red,0.01209,0.00325
B4,Red,0.01197,0.00445
B4,Red,0.0137,0.0032
B4,Red,0.01262,0.00764
B4,Red,0.01247,0.00507
B4,Red,0.01346,0.00553
B4,Red,0.01274,0.00383
B4,Red,0.01466,0.00292
B4,Red,0.01238,0.00811
B4,Red,0.01252,0.00909
B4,Red,0.01291,0.00537
B4,Red,0.01606,0.00502
B4,Red,0.01428,0.02202
B4,Red,0.01204,0.00759
B4,Red,0.01265,0.0083
B4,Red,0.01315,0.00513
B4,Red,0.01161,0.00373
B4,Red,0.01201,0.00614
B4,Red,0.01314,0.00817
B4,Red,0.01295,0.00455
B4,Red,0.01309,0.00361
B4,Red,0.07535,0.00338
B4,Red,0.01266,0.0061
B4,Red,0.01236,0.00567
B4,Red,0.06071,0.00319
B4,Red,0.01233,0.00947
B4,Red,0.01377,0.00823
B4,Red,0.01429,0.00591
B4,Red,0.0132,0.00841
B4,Red,0.01412,0.00843
B4,Red,0.01294,0.00432
B4,Red,0.01216,0.00439
B4,Red,0.01542,0.00318
B4,Red,0.01232,0.00687
B4,Red,0.01302,0.00635
B4,Red,0.0131,0.0044
B4,Red,0.01138,0.00331
B4,Red,0.01461,0.00549
B4,Red,0.0124,0.0073
B4,Red,0.01222,0.00763
B4,Red,0.01224,0.00481
B4,Red,0.0116,0.00287
B4,Red,0.01056,0.00262
B4,Red,0.01288,0.00664
B4,Red,0.01322,0.0082
B4,Red,0.01228,0.00531
B4,Red,0.0154,0.00696
B4,Red,0.01525,0.00424
B4,Red,0.02414,0.00482
B4,Red,0.01816,0.00897
B4,Red,0.03249,0.00852
B4,Red,0.01181,0.00402
B4,Red,0.01246,0.00248
B4,Red,0.01157,0.0024
B4,Red,0.01343,0.00723
B4,Red,0.02239,0.00874
B4,Red,0.01256,0.00466
B4,Red,0.01177,0.00326
B4,Red,0.01481,0.00364
B4,Red,0.01265,0.00677
B4,Red,0.01242,0.00883
B4,Red,0.0129,0.00419
B4,Red,0.01143,0.00237
B4,Red,0.01188,0.00628
B4,Red,0.01296,0.00971
B4,Red,0.01372,0.00331
B4,Red,0.01233,0.00434
B4,Red,0.01247,0.00696
B4,Red,0.01273,0.00362
B4,Red,0.01204,0.00577
B4,Red,0.0134,0.00578
B4,Red,0.01193,0.00331
B4,Red,0.01271,0.00791
B4,Red,0.0131,0.00875
B4,Red,0.01408,0.00586
B4,Red,0.01345,0.00543
B4,Red,0.01218,0.00612
B4,Red,0.01847,0.00948
B4,Red,0.01257,0.00951
B4,Red,0.01537,0.00566
B4,Red,0.01317,0.00574
B4,Red,0.01277,0.00559
B4,Red,0.0136,0.00689
B4,Red,0.01267,0.00514
B4,Red,0.01602,0.00778
B4,Red,0.01355,0.00697
B4,Red,0.01239,0.00538
B4,Red,0.01467,0.00955
B4,Red,0.01143,0.00377
B4,Red,0.01505,0.01148
B4,Red,0.01396,0.00689
B4,Red,0.01359,0.00372
B4,Red,0.01261,0.00337
B4,Red,0.01352,0.00437
B4,Red,0.0121,0.00585
B4,Red,0.01299,0.00379
B4,Red,0.012,0.00437
B4,Red,0.01213,0.00271
B4,Red,0.01296,0.00174
B4,Red,0.01552,0.00767
B4,Red,0.01218,0.00233
B4,Red,0.01197,0.00572
B4,Red,0.01293,0.00419
B4,Red,0.0171,0.00591
B4,Red,0.01493,0.00659
B4,Red,0.01335,0.00596
B4,Red,0.01746,0.0059
B4,Red,0.02507,0.00372
B4,Red,0.02456,0.00627
B4,Red,0.01987,0.00848
B4,Red,0.0198,0.00079
B8,NIR,0.04344,0.00244
B8,NIR,0.04385,0.00558
B8,NIR,0.04487,0.00337
B8,NIR,0.04413,0.00437
B8,NIR,0.04388,0.00207
B8,NIR,0.04458,0.00388
B8,NIR,0.04716,0.0036
B8,NIR,0.05238,0.00668
B8,NIR,0.04754,0.01028
B8,NIR,0.04648,0.0043
B8,NIR,0.04391,0.0017
B8,NIR,0.0434,0.00176
B8,NIR,0.04441,0.00282
B8,NIR,0.04475,0.00676
B8,NIR,0.04409,0.00363
B8,NIR,0.04395,0.00375
B8,NIR,0.04435,0.00133
B8,NIR,0.04374,0.00235
B8,NIR,0.0437,0.00168
B8,NIR,0.0435,0.00152
B8,NIR,0.04347,0.00314
B8,NIR,0.04437,0.00549
B8,NIR,0.04383,0.00315
B8,NIR,0.04363,0.00167
B8,NIR,0.04405,0.00155
B8,NIR,0.06453,0.00277
B8,NIR,0.04385,0.00529
B8,NIR,0.04377,0.00325
B8,NIR,0.04353,0.00164
B8,NIR,0.04381,0.00237
B8,NIR,0.0436,0.00174
