feature,label,value,shap,zona
B3_B2,Green/Blue,0.6547388148221649,1.1480231636083646,LAGO MAYOR
B3_B2,Green/Blue,0.8488463922954343,0.5703047857841531,LAGO MAYOR
B3_B2,Green/Blue,0.6333332521367625,1.0581899109598858,LAGO MAYOR
B3_B2,Green/Blue,0.9293332094222388,-0.7075502172418918,LAGO MAYOR
B3_B2,Green/Blue,0.9954396745641906,-1.5247102818319898,LAGO MAYOR
B3_B2,Green/Blue,0.8657024197174642,-0.45262941500441284,LAGO MAYOR
B3_B2,Green/Blue,0.7168203891539823,1.5770415930972361,LAGO MAYOR
B3_B2,Green/Blue,3.133326370385844,-1.1789163122188504,LAGO MAYOR
B3_B2,Green/Blue,1.944433642035322,-1.114184696702039,LAGO MENOR
B3_B2,Green/Blue,1.1710034998134755,-0.9951886918178217,LAGO MENOR
B3_B2,Green/Blue,1.14857120979596,-0.967348136096097,LAGO MENOR
B3_B2,Green/Blue,1.038721509605316,-1.0504901331256775,LAGO MENOR
B3_B2,Green/Blue,1.0224474277735391,-1.5276102211550733,LAGO MENOR
B3_B2,Green/Blue,1.0938939462042658,-2.018560969628118,LAGO MENOR
B3_B2,Green/Blue,1.2285054109344828,-2.186651911088029,LAGO MENOR
B3_B2,Green/Blue,1.0155278872342928,-1.2795023263751653,LAGO MENOR
B3_B2,Green/Blue,1.064695980775461,-1.7470938194248016,LAGO MENOR
B3_B2,Green/Blue,1.1041998349707691,-1.6742936087793328,LAGO MENOR
B3_B2,Green/Blue,1.0673288594189372,-0.7771715168734449,LAGO MENOR
B3_B2,Green/Blue,1.20306741085476,-2.520765057654487,BAHIA PUNO
B3_B2,Green/Blue,0.9861184737790456,-1.6632277434070064,BAHIA PUNO
B3_B2,Green/Blue,0.8489246855416835,0.8982804400033243,BAHIA PUNO
B3_B2,Green/Blue,0.7969597830097839,0.9936442838972009,BAHIA PUNO
B3_B2,Green/Blue,0.8027319886407398,1.021403533614396,LAGO MAYOR
B3_B2,Green/Blue,0.7825626268068256,1.0581010863551628,LAGO MAYOR
B3_B2,Green/Blue,0.8237326872606495,0.8439683456400139,LAGO MAYOR
B3_B2,Green/Blue,1.142307637389056,-1.952605136701847,LAGO MAYOR
B3_B2,Green/Blue,0.6724137544589797,1.6372035428481646,LAGO MAYOR
B3_B2,Green/Blue,0.6905660005085714,2.0184124521563387,LAGO MAYOR
B3_B2,Green/Blue,0.7107481185064216,2.1293969456139097,LAGO MAYOR
B3_B2,Green/Blue,0.7237394577867932,2.264713564839245,LAGO MAYOR
B3_B2,Green/Blue,0.7354368575030652,1.4080173847832282,LAGO MAYOR
B3_B2,Green/Blue,0.7014574188313389,2.188298962495103,LAGO MAYOR
B3_B2,Green/Blue,0.714285678607109,2.0920954156897777,LAGO MAYOR
B3_B2,Green/Blue,0.6861701762675438,2.4038671726109073,LAGO MAYOR
B3_B2,Green/Blue,0.7279610206619243,2.182628606182007,LAGO MAYOR
B3_B2,Green/Blue,0.7397504126670938,1.776078657637535,LAGO MAYOR
B3_B2,Green/Blue,0.8393925062405657,0.9258847174940902,LAGO MAYOR
B3_B2,Green/Blue,0.7185260635350019,2.099577086505208,LAGO MAYOR
B3_B2,Green/Blue,0.6985293775230698,2.2343486311420397,LAGO MAYOR
