station,zona,campaign_date,year,sensor,secchi,zone_label,predicted,lower,upper,width,covered
E51,LAGO MAYOR,2016-08-06,2016,LS,9.4,Lago Mayor,10.79329342196846,7.751095120492159,13.835491723444761,6.084396602952602,True
E52,LAGO MAYOR,2016-08-06,2016,LS,10.3,Lago Mayor,9.38494588170261,6.342747580226308,12.42714418317891,6.084396602952602,True
E58,LAGO MAYOR,2016-08-09,2016,LS,5.0,Lago Mayor,6.770468169608169,3.728269868131868,9.812666471084471,6.084396602952603,True
E59,LAGO MAYOR,2016-08-09,2016,LS,13.0,Lago Mayor,11.47639746704276,8.434199165566458,14.518595768519063,6.084396602952605,True
E60,LAGO MAYOR,2016-08-09,2016,LS,12.0,Lago Mayor,10.612713320594457,7.570515019118155,13.65491162207076,6.084396602952604,True
E61,LAGO MAYOR,2016-08-08,2016,LS,10.2,Lago Mayor,11.59836458874458,8.669393126931983,14.527336050557178,5.857942923625195,True
E68,LAGO MAYOR,2016-08-08,2016,LS,5.5,Lago Mayor,9.599161452052392,6.670189990239796,12.52813291386499,5.8579429236251945,False
E72,LAGO MAYOR,2016-08-09,2016,LS,5.8,Lago Mayor,5.576995295815303,2.5347969943390014,8.619193597291606,6.084396602952604,True
E76,LAGO MAYOR,2016-08-11,2016,LS,12.5,Lago Mayor,10.757283592571492,7.925999200769208,13.588567984373775,5.662568783604566,True
E78,LAGO MAYOR,2016-08-11,2016,LS,13.5,Lago Mayor,10.233105970591094,7.401821578788811,13.064390362393377,5.662568783604566,False
E79,LAGO MAYOR,2016-08-11,2016,LS,11.5,Lago Mayor,10.434657911610755,7.603373519808471,13.265942303413038,5.662568783604566,True
E80,LAGO MAYOR,2016-08-11,2016,LS,10.5,Lago Mayor,10.12669982456033,7.2954154327580465,12.957984216362613,5.662568783604566,True
E82,LAGO MAYOR,2016-08-10,2016,LS,8.2,Lago Mayor,9.995252817910599,6.953054516434297,13.037451119386901,6.084396602952604,True
E83,LAGO MAYOR,2016-08-10,2016,LS,5.5,Lago Mayor,8.484440000379736,5.442241698903435,11.526638301856039,6.084396602952604,True
E84,LAGO MAYOR,2016-08-10,2016,LS,4.7,Lago Mayor,6.820569534909534,3.7783712334332327,9.862767836385835,6.084396602952602,True
E85,LAGO MAYOR,2016-08-10,2016,LS,9.8,Lago Mayor,9.368315726866562,6.326117425390261,12.410514028342863,6.084396602952602,True
E88,LAGO MAYOR,2016-08-10,2016,LS,6.5,Lago Mayor,9.811701659912732,6.76950335843643,12.853899961389033,6.084396602952602,False
E94,LAGO MAYOR,2016-08-10,2016,LS,7.4,Lago Mayor,7.791018471543075,4.748820170066773,10.833216773019377,6.084396602952603,True
E97,LAGO MAYOR,2016-08-10,2016,LS,9.5,Lago Mayor,11.337188623220577,8.294990321744276,14.379386924696878,6.0843966029526015,True
E98,LAGO MAYOR,2016-08-10,2016,LS,9.0,Lago Mayor,9.922156303945366,6.879958002469064,12.964354605421669,6.084396602952604,True
E99,LAGO MAYOR,2016-08-12,2016,LS,9.2,Lago Mayor,10.338001847954658,7.283107184562491,13.392896511346825,6.109789326784334,True
E100,LAGO MAYOR,2016-08-12,2016,LS,10.2,Lago Mayor,10.140275950929995,7.085381287537828,13.195170614322162,6.109789326784334,True
E104,LAGO MAYOR,2016-08-11,2016,LS,11.5,Lago Mayor,10.732722211156002,7.901437819353719,13.564006602958285,5.662568783604566,True
E113,LAGO MAYOR,2016-08-10,2016,LS,9.3,Lago Mayor,9.719893296043454,6.677694994567152,12.762091597519756,6.084396602952604,True
E117,LAGO MAYOR,2016-08-10,2016,LS,10.0,Lago Mayor,9.341427336583212,6.299229035106911,12.383625638059513,6.084396602952602,True
E119,LAGO MAYOR,2016-08-10,2016,LS,10.5,Lago Mayor,10.605291521320607,7.563093219844306,13.64748982279691,6.084396602952604,True
E120,LAGO MAYOR,2016-08-12,2016,LS,14.2,Lago Mayor,10.082251261846398,7.027356598454231,13.137145925238565,6.109789326784334,False
E121,LAGO MAYOR,2016-08-12,2016,LS,10.5,Lago Mayor,9.872332897434656,6.8174382340424895,12.927227560826823,6.109789326784334,True
E01,BAHIA PUNO,2017-07-10,2017,LS,5.3,Bahia de Puno,8.689374145854147,5.63447948246198,11.744268809246314,6.109789326784334,False
E02,BAHIA PUNO,2017-07-11,2017,LS,6.0,Bahia de Puno,7.317311444503207,4.4860270527009245,10.14859583630549,5.662568783604565,True
E05,BAHIA PUNO,2017-07-11,2017,LS,6.6,Bahia de Puno,8.091101059134104,5.259816667331821,10.922385450936387,5.662568783604566,True
E14,BAHIA PUNO,2017-07-12,2017,LS,10.6,Bahia de Puno,10.318834179732013,7.263939516339846,13.37372884312418,6.109789326784334,True
E15,BAHIA PUNO,2017-07-12,2017,LS,6.6,Bahia de Puno,7.741345765334333,4.686451101942165,10.7962404287265,6.109789326784336,True
E16,BAHIA PUNO,2017-07-12,2017,LS,6.0,Bahia de Puno,6.9540536411494696,3.899158977757302,10.008948304541637,6.109789326784334,True
E17,BAHIA PUNO,2017-07-11,2017,LS,4.2,Bahia de Puno,5.232998548364257,2.4017141565619746,8.06428294016654,5.662568783604566,True
E28,LAGO MAYOR,2017-07-12,2017,LS,10.3,Lago Mayor,7.97190182095682,4.917007157564653,11.026796484348987,6.109789326784334,True
E32,LAGO MAYOR,2017-07-12,2017,LS,7.0,Lago Mayor,9.680767333429566,6.625872670037399,12.735661996821733,6.109789326784334,True
E36,LAGO MAYOR,2017-07-13,2017,LS,10.8,Lago Mayor,8.801252471515415,5.746357808123248,11.856147134907582,6.109789326784334,True
E39,LAGO MAYOR,2017-07-13,2017,LS,8.4,Lago Mayor,6.372246271193506,3.317351607801339,9.427140934585674,6.109789326784336,True
E41,LAGO MAYOR,2017-07-13,2017,LS,13.0,Lago Mayor,10.02902200457518,6.974127341183014,13.083916667967348,6.109789326784334,True
E42,LAGO MAYOR,2017-07-13,2017,LS,14.0,Lago Mayor,10.596090285484633,7.5411956220924665,13.6509849488768,6.109789326784334,False
E43,LAGO MAYOR,2017-07-13,2017,LS,12.0,Lago Mayor,10.574716543689197,7.51982188029703,13.629611207081364,6.109789326784334,True
E22,LAGO MAYOR,2017-07-13,2017,LS,9.0,Lago Mayor,9.045395775264247,5.99050111187208,12.100290438656414,6.109789326784334,True
E48,LAGO MAYOR,2017-07-15,2017,LS,12.0,Lago Mayor,11.160670989964045,7.728133320744373,14.593208659183716,6.865075338439343,True
E49,LAGO MAYOR,2017-07-15,2017,LS,9.0,Lago Mayor,10.181429920059927,6.748892250840255,13.613967589279598,6.865075338439343,True
E50,LAGO MAYOR,2017-07-15,2017,LS,12.0,Lago Mayor,8.955651640026641,5.523113970806969,12.388189309246313,6.865075338439343,True
E51,LAGO MAYOR,2017-07-15,2017,LS,9.8,Lago Mayor,10.176084572358539,6.743546903138867,13.60862224157821,6.865075338439343,True
E52,LAGO MAYOR,2017-07-15,2017,LS,9.0,Lago Mayor,9.748321136889992,6.31578346767032,13.180858806109663,6.865075338439343,True
E59,LAGO MAYOR,2017-07-16,2017,LS,10.0,Lago Mayor,9.56447177144658,6.131934102226909,12.997009440666252,6.865075338439343,True
E60,LAGO MAYOR,2017-07-16,2017,LS,10.0,Lago Mayor,9.973691177723843,6.541153508504172,13.406228846943515,6.865075338439343,True
E61,LAGO MAYOR,2017-07-16,2017,LS,12.8,Lago Mayor,10.159696112334297,6.727158443114625,13.592233781553968,6.865075338439343,True
E72,LAGO MAYOR,2017-07-16,2017,LS,5.8,Lago Mayor,4.703099610389609,1.2705619411699378,8.13563727960928,6.865075338439343,True
E76,LAGO MAYOR,2017-07-19,2017,LS,9.0,Lago Mayor,9.745109085814931,6.913824694012648,12.576393477617215,5.662568783604566,True
E78,LAGO MAYOR,2017-07-19,2017,LS,10.3,Lago Mayor,10.19237598601968,7.361091594217397,13.023660377821964,5.662568783604566,True
E79,LAGO MAYOR,2017-07-16,2017,LS,10.0,Lago Mayor,10.162259766915016,6.729722097695344,13.594797436134687,6.865075338439343,True
E80,LAGO MAYOR,2017-07-17,2017,LS,10.0,Lago Mayor,10.092240326511625,7.0500420250353235,13.134438627987926,6.084396602952602,True
E82,LAGO MAYOR,2017-07-17,2017,LS,10.0,Lago Mayor,9.88397401178261,6.841775710306309,12.926172313258913,6.084396602952604,True
E83,LAGO MAYOR,2017-07-17,2017,LS,8.0,Lago Mayor,10.427209476410468,7.385011174934166,13.469407777886769,6.084396602952602,True
E88,LAGO MAYOR,2017-07-20,2017,LS,8.0,Lago Mayor,9.491660888989365,6.059123219769694,12.924198558209037,6.865075338439343,True
E94,LAGO MAYOR,2017-07-20,2017,LS,9.0,Lago Mayor,11.258335750360766,7.8257980811410945,14.690873419580438,6.865075338439343,True
E97,LAGO MAYOR,2017-07-20,2017,LS,10.0,Lago Mayor,10.721019942060623,7.288482272840952,14.153557611280295,6.865075338439343,True
E98,LAGO MAYOR,2017-07-19,2017,LS,9.5,Lago Mayor,10.19391254794975,7.362628156147467,13.025196939752034,5.662568783604566,True
E99,LAGO MAYOR,2017-07-19,2017,LS,11.0,Lago Mayor,10.318917009663522,7.487632617861239,13.150201401465806,5.662568783604566,True
E100,LAGO MAYOR,2017-07-19,2017,LS,10.0,Lago Mayor,10.337129991142879,7.505845599340596,13.168414382945162,5.662568783604566,True
E104,LAGO MAYOR,2017-07-19,2017,LS,10.2,Lago Mayor,10.415797197208095,7.5845128054058115,13.247081589010378,5.662568783604566,True
E113,LAGO MAYOR,2017-07-20,2017,LS,10.0,Lago Mayor,10.065363349741924,6.632825680522252,13.497901018961596,6.865075338439343,True
E117,LAGO MAYOR,2017-07-19,2017,LS,8.5,Lago Mayor,10.112237042898698,7.280952651096415,12.943521434700981,5.662568783604566,True
E120,LAGO MAYOR,2017-07-21,2017,LS,9.5,Lago Mayor,11.193544516431079,8.151346214954778,14.23574281790738,6.0843966029526015,True
E121,LAGO MAYOR,2017-07-21,2017,LS,9.0,Lago Mayor,10.583904897155888,7.541706595679586,13.62610319863219,6.084396602952604,True
E122,LAGO MENOR,2017-07-21,2017,LS,9.0,Lago Menor,9.256478684093679,6.214280382617377,12.29867698556998,6.084396602952602,True
E123,LAGO MENOR,2017-07-21,2017,LS,6.5,Lago Menor,8.427863769465544,5.385665467989242,11.470062070941847,6.084396602952604,True
E125,LAGO MENOR,2017-07-21,2017,LS,8.0,Lago Menor,5.00659095349095,1.9643926520146486,8.048789254967252,6.084396602952603,True
E130,LAGO MENOR,2017-07-22,2017,LS,5.4,Lago Menor,5.530001407247727,2.487803105771425,8.572199708724028,6.084396602952603,True
E136,LAGO MENOR,2017-07-22,2017,LS,7.0,Lago Menor,7.4208589293057,4.378660627829398,10.463057230782002,6.084396602952604,True
E135,LAGO MENOR,2017-07-22,2017,LS,6.0,Lago Menor,6.988572444222448,3.946374142746146,10.03077074569875,6.084396602952603,True
E137,LAGO MENOR,2017-07-22,2017,LS,6.0,Lago Menor,4.699539276279277,1.6573409748029757,7.741737577755579,6.084396602952603,True
E142,LAGO MENOR,2017-07-22,2017,LS,6.0,Lago Menor,6.6627298963609425,3.620531594884641,9.704928197837244,6.084396602952603,True
E-148,LAGO MENOR,2017-07-22,2017,LS,6.0,Lago Menor,4.8125276295926325,1.7703293281163308,7.854725931068934,6.084396602952603,True
E-145,LAGO MENOR,2017-07-23,2017,LS,6.5,Lago Menor,6.089153053749159,3.1601815919365626,9.018124515561755,5.857942923625193,True
E-147,LAGO MENOR,2017-07-23,2017,LS,6.5,Lago Menor,5.111257786008302,2.1822863241957053,8.0402292478209,5.8579429236251945,True
E01,BAHIA PUNO,2018-07-18,2018,LS,5.4,Bahia de Puno,6.171449797380569,3.1165551339884012,9.226344460772737,6.109789326784336,True
E02,BAHIA PUNO,2018-07-18,2018,LS,6.0,Bahia de Puno,10.417305197354509,7.362410533962342,13.472199860746676,6.109789326784334,False
